22,"PROGRAMACAO DE COMPUTADORES"
22,"METODOLOGIA DA PESQUISA CIENTIFICA"
22,"MECANICA DOS FLUIDOS"
22,"LEGISLACAO SOCIAL E TRABALHISTA (1200479)"
22,"GESTAO DA MANUTENCAO E CONFIABILIDADE (1200777)"
22,"ESTRATEGIA COMPETITIVA DAS ORGANIZACOES"
22,"ECOLOGIA"
22,"CLINICA CIRURGICA DE PEQUENOS ANIMAIS"
22,"BIOTECNOLOGIA DA REPRODUCAO"
22,"ARQUITETURA E ORGANIZ.DE COMPUTADORES (1200508)"
21,"TECNOLOGIA DO PESCADO II (1200204)"
21,"QUIMICA ORGANICA"
21,"PRATICA DE ENSINO III: OBJETOS DIGITAIS DE EDUCACAO EM COMPUTACAO"
21,"PATOLOGIA GERAL (1200089)"
21,"MECANICA DOS FLUIDOS (1200124)"
21,"HISTOLOGIA VETERINARIA (1200084)"
21,"GEOMETRIA EUCLIDIANA I"
21,"GEOMETRIA ANALITICA"
21,"FUNDAMENTOS DE ECONOMIA (1200449)"
21,"FORRAGICULTURA I (1200087)"
21,"EZOOGNOSE E JULGAMENTO ANIMAL"
21,"EQUIDEOCULTURA"
21,"CALCULO II"
21,"BANCO DE DADOS"
21,"AQUICULTURA"
21,"ANALISE E EXPRESSAO TEXTUAL"
21,"AMBIENTE, TECNOLOGIA E SOCIEDADE"
20,"TERAPEUTICA VETERINARIA (1200093)"
20,"SISTEMAS HIDROPNEUMATICOS"
20,"QUIMICA APLICADA A ENGENHARIA (1200541)"
20,"PRATICA DE ENSINO I: EDUCACAO EM COMPUTACAO"
20,"PLANCTOLOGIA (1200197)"
20,"PAVIMENTACAO"
20,"OVINOCULTURA"
20,"NAVEGACAO  II (1200529)"
20,"LOGICA E MATEMATICA DISCRETA"
20,"LABORATORIO DE SISTEMAS DIGITAIS"
20,"GESTAO DE OPERACOES EM SERVICOS"
20,"GENESE, MORFOLOGIA E CLASS. DO SOLO (1200019)"
20,"FUNDAMENTOS DE CIENCIA DOS MATERIAIS"
20,"FUNDAMENTOS DA ANTROPOLOGIA E DA SOCIOLOGIA"
20,"EXTENSAO PESQUEIRA E DA AQUICULTURA (1200216)"
20,"ENTOMOLOGIA E PARASITOLOGIA VEGETAL (1200678)"
20,"EMPREENDEDORISMO (1200213)"
20,"BIOESTATISTICA (1200667)"
20,"ANESTESIOLOGIA (1200094)"
20,"ALGORITMOS E ESTRUTURAS DE DADOS II"
19,"TECNOLOGIA DAS EDIFICACOES"
19,"TECNOLOGIA DA PESCA II (1200531)"
19,"SEGURANCA COMPUTACIONAL"
19,"RELACAO AGUA-SOLO-PLANTA-ATMOSFERA"
19,"PSICOLOGIA MEDICA E COMUNICACAO"
19,"PROGRAMACAO ORIENTADA A OBJETO (1200505)"
19,"NUTRICAO DOS RUMINANTES"
19,"MANEJO SANITARIO DE ORG.AQUATICOS (1200530)"
19,"MANEJO E GESTAO AMBIENTAL"
19,"MANEJO DE PLANTAS DANINHAS (1200745)"
19,"MANEJO DE BACIAS HIDROGRAFICAS"
19,"LINGUAGEM DE PROGRAMACAO I"
19,"LABORATORIO DE ENGENHARIA QUIMICA II"
19,"INTRODUCAO A ZOOTECNIA (1200330)"
19,"INTRODUCAO A ENGENHARIA DO PETROLEO"
19,"INTRODUCAO A AGRONOMIA (1200316)"
19,"INSTRUMENTACAO E CONTROLE"
19,"FORRAGICULTURA II (1200062)"
19,"FISIOECOL. DE ORGAN. AQUATICOS"
19,"ENGENHARIA ECONOMICA E FINANCAS"
19,"ENGENHARIA DE METODOS E PROCESSOS (1200770)"
19,"ECOLOGIA DE CAMPO (1200731)"
19,"CONTROLE ANALOGICO"
19,"CLASSIFICACAO E TIPIFICACAO DE CARCACA (1200058)"
19,"CIRCUITOS ELETRONICOS"
19,"CIRCUITOS DIGITAIS (1200259)"
19,"BUBALINOCULTURA"
19,"BOTANICA AQUATICA (1200191)"
19,"BIOSEGURANCA E ETICA EM BIOTECNOLOGIA"
19,"BIOINFORMATICA"
19,"BIOETICA E MEDICINA LEGAL (1200119)"
19,"ANATOMIA E FISIOLOGIA COMPARADA DOS ANIMAIS DOMESTICOS (1200001)"
18,"ZOOLOGIA  DE  INVERTEBRADOS (1200698)"
18,"ZOOLOGIA AQUATICA (1200189)"
18,"VIVEIROS FLORESTAIS"
18,"TECNOLOGIA DO PESCADO I (1200202)"
18,"TECNOLOGIA DA PESCA  I (1200194)"
18,"SUINOCULTURA"
18,"SISTEMAS MULTIMIDIA"
18,"SEMIOLOGIA VETERINARIA"
18,"SEMINARIOS DE PESQUISA"
18,"RESISTENCIA DOS MATERIAIS II (1200399)"
18,"REDES DE COMPUTADORES II"
18,"REDES DE COMPUTADORES I"
18,"QUIMICA E FERTILIDADE DO SOLO"
18,"PSICOLOGIA E EDUCACAO"
18,"PSICOLOGIA DA EDUCACAO"
18,"PROJETO INTEGRADO DE SISTEMAS DE PRODUCAO"
18,"PRODUCAO DE AVES E SUINOS (1200041)"
18,"PESCA INDUSTRIAL (1200566)"
18,"PATOLOGIA VETERINARIA (1200096)"
18,"NUTRICAO DE RUMINANTES"
18,"NAVEGACAO  I (1200528)"
18,"MITILICULTURA"
18,"MICROBIOLOGIA VETERINARIA (1108016)"
18,"MICROBIOLOGIA AMBIENTAL"
18,"METODOLOGIA DA PESQUISA"
18,"METODOLOGIA  CIENTIFICA (1200474)"
18,"MELHORAMENTO VEGETAL (1200012)"
18,"MECANICA APLICADA AS MAQUINAS"
18,"MATERIAIS DE CONSTRUCAO MECANICA II"
18,"MATEMATICA BASICA"
18,"MAQUINAS E MOTORES UTILIZADOS NA PESCA E AQUICULTURA (1200203)"
18,"MALACOLOGIA (1200621)"
18,"LOGISTICA E GESTAO DE REDES DE SUPRIMENTOS I"
18,"LOGISTICA (1200488)"
18,"LABORATORIO DE ALGORITMOS"
18,"INTRODUCAO A ENGENHARIA  DE PESCA (1200188)"
18,"INTRODUCAO  A  ECOLOGIA (1200697)"
18,"INTRODUCAO  A CIENCIA DO DIREITO I"
18,"INSTRUMENTACAO AGRICOLA"
18,"HISTORIA E EDUCACAO"
18,"GINECOLOGIA E OBSTETRICIA VETERINARIA"
18,"GEOPROCESSAMENTO (1200065)"
18,"FISIOPATOLOGIA DA REPRODUCAO (1200100)"
18,"ESTATISTICA NAO-PARAMETRICA"
18,"DIREITO TRIBUTARIO"
18,"DIREITO CIVIL - PARTE GERAL"
18,"COMUNICACAO E EXTENSAO RURAL (1200044)"
18,"COMPUTACAO PARALELA"
18,"CLINICA MEDICA DE RUMINANTES"
18,"CLINICA CIRURGIA DE GRANDES ANIMAIS"
18,"CLIMATOLOGIA E METEOROLOGIA (1200701)"
18,"CIENCIA POLITICA"
18,"CAPTACAO E UTILIZACAO DE ENERGIA EOLICA"
18,"BOVINOCULTURA DE LEITE"
18,"BOVINOCULTURA DE CORTE"
18,"BIOTECNOLOGIA DE RESIDUOS"
18,"BIOTECNOLOGIA (1200206)"
18,"BIORREATORES E BIOFABRICAS"
18,"BIOLOGIA MOLECULAR (1200671)"
18,"BANCO DE DADOS I"
18,"AVICULTURA (1107035)"
18,"AVICULTURA"
18,"ANALISE DE ALIMENTOS"
18,"ALGORITMOS E PROGRAMACAO III"
18,"ADMINISTRACAO RURAL"
17,"ZOOLOGIA (1200743)"
17,"TRABALHO DE CONCLUSAO DE CURSO I (1200604)"
17,"TOPICOS ESPECIAIS"
17,"TEORIA ECONOMICA (1200219)"
17,"TEORIA DA COMPUTACAO (1200515)"
17,"SISTEMAS ELETRICOS"
17,"SAÚDE & CICLOS DE VIDA I"
17,"REPRODUCAO ANIMAL E INSEM. ARTIFICIAL (1200161)"
17,"PSICOLOGIA JURIDICA"
17,"PLANEJAMENTO,PROGRAMACAO E CONTROLE DA PRODUCAO (1200771)"
17,"OSTREICULTURA (1200565)"
17,"MICROBIOLOGIA PARA ECOLOGOS (1200705)"
17,"INTRODUCAO A  COMPUTACAO (1200256)"
17,"GEOPROCESSAMENTO APLICADO A  ECOLOGIA (1200714)"
17,"GEOLOGIA"
17,"FISIOLOGIA ANIMAL"
17,"FILOSOFIA E EDUCACAO (1206067)"
17,"ESTAGIO SUPERVISIONADO III"
17,"ELABORACAO DE PROJETOS DE PESCA E AQUICULTURA (1200217)"
17,"ECOLOGIA  QUANTITATIVA  I (1200711)"
17,"ECOLOGIA DE POPULACOES"
17,"ECOLOGIA COMPORTAMENTAL"
17,"ECOFISIOLOGIA  ANIMAL (1200708)"
17,"DIREITO AMBIENTAL"
17,"DIAGNOSTICO POR IMAGEM (1200103)"
17,"CONTROLE DIGITAL"
17,"CONSTRUCAO DE MAQUINAS"
17,"COMPUTACAO GRAFICA"
17,"COMPORTAMENTO E BEM ESTAR ANIMAL (1200082)"
17,"COMPORTAMENTO E BEM ESTAR ANIMAL"
17,"CAPRINOCULTURA"
17,"BIOGEOGRAFIA"
17,"BIOFISICA  AMBIENTAL (1200712)"
17,"BIOFISICA (1108004)"
17,"BIOCLIMATOLOGIA ANIMAL (1200164)"
17,"AQUICULTURA GERAL"
17,"ANALISE DE CUSTOS"
16,"TRANSPORTADORES  INDUSTRIAIS E MAQUINAS DE ELEVACAO"
16,"TRABALHO DE CONCLUSAO DE CURSO II"
16,"TOPICOS ESPECIAIS EM ENGENHARIA CIVIL NA AREA DE ESTRUTURAS"
16,"TOPICOS EM INFORMATICA (1200471)"
16,"TEORIA GERAL DO PROCESSO"
